Selected Features,Variances,Weights
telomere_length,53.51838243845423,1.6523551881419962e-05
age,353.5390134820334,-7.398020059889987e-05
cigarette_smoking,0.38285403527568773,4.973919935924442e-06
alcohol_drinking,0.6066346864067662,-3.007312298608511e-05
physical_activity_cohort,1.6052467106598158,3.937960404543084e-05
bmi,532.3352970167078,-2.0128659455109776e-05
bp_category,1.3618233618233617,3.932613824486619e-05
hr,145.93001680181166,-4.193449600897736e-06
rr,4.318568842785367,1.3811014311748693e-05
cardiovascular_disease_diagnosis,0.20249835634451016,1.9037692517542837e-05
sex_Female,0.24965706447187927,2.0320953912023043e-05
sex_Male,0.24965706447187927,-2.0320953912467132e-05
rural_or_urban_Rural,0.10749912744214736,-5.428300119991736e-05
rural_or_urban_Urban,0.10749912744214736,5.428300120158269e-05
