Single,Married,Widowed
11.34,2.72,11.25
22.15,14.85,31.9
1.81,12.61,34
8.97,29.03,4.26
8.36,7.51,5.88
13.62,25.25,3.38
2.17,3.06,8.19
18.58,17.58,8.41
7.38,20.55,35.19
7.03,13.86,1.93
10.62,1.63,6.43
13.07,13.26,16.25
14.06,17.18,27.15
8.25,11.13,16.32
12.14,12.17,16.38
7.34,8.14,5.16
17.5,15.95,22.7
2.87,1.46,2.55
27.21,6.62,2.35
1.38,18.56,13.75
5.41,13.85,5.32
5.93,14.84,7.48
9.29,28.2,10.83
9.82,1.93,14.32
15.93,4.44,1.66
10.03,6.34,5.02
9.28,15.92,9.58
20.32,33.94,6.9
12.32,0.24,6.95
1.79,7.51,13.35
17.61,6.04,30.52
4.62,1.06,9.98
32.09,30.52,14.84
5.21,38.8,17.35
17.08,10.95,20.14
38.83,7.54,9.72
1.79,6.43,8.32
8.77,23.34,26.51
4.6,6.75,16.12
6,2.85,2.78
6.66,11.82,4.25
18.59,5.21,8.37
5.37,9.45,5.69
4.84,8.35,3.18
6,7.73,15.29
28.99,14.67,12.19
11.65,4.86,9.18
3.72,13.35,13.75
20.55,7.52,10.98
2.75,8.21,8.92
5.89,4.77,11.03
22.92,2.35,8.21
16.28,5.11,7.52
6.83,15.88,6.61
7.6,7.82,3.55
9.51,10.15,7.54
22.02,9.05,7.38
3.9,5.06,
4.25,13.72,
5.6,21.03,
2.43,2.45,
14.24,2.09,
9.66,34.53,
6.12,13.18,
1.89,2.32,
17.45,30.83,
3.64,23.64,
6.71,5.21,
20.81,7.12,
34.28,1.22,
24.72,17.45,
5.1,11.72,
12.32,24.87,
3.48,17.28,
12.53,2.86,
34.37,1.36,
7.88,11.58,
24.08,13.72,
4.34,4.39,
11.91,10.34,
6.18,3.61,
7.25,7.18,
15.47,1.93,
4.62,11.07,
1.46,1.06,
3.48,7.57,
11.42,7.92,
15.95,28.03,
20.32,8.15,
28.25,20.17,
14.29,13.12,
3.72,10.97,
8.81,6.83,
12.37,13,
2.7,5.57,
11.61,9.56,
9.18,11.13,
6.61,7.33,
3.72,22.49,
14.46,5.18,
5.01,3.36,
3.23,2.2,
10.91,12.41,
10.86,2.93,
6.97,29.95,
6.08,2.81,
11.15,6.02,
4.94,4.92,
6.78,2.37,
3.96,9.05,
5.83,7.03,
16.32,7.58,
10.02,9.59,
1.17,5.93,
8.09,4.57,
20.84,14.06,
10.39,17.5,
8.58,32.09,
8.93,30.27,
10.47,20.81,
6.12,10.15,
34.27,26.98,
4.32,12.77,
1.89,18.83,
8.78,28.03,
6.77,11.4,
11.78,10.02,
8.82,12.07,
6.72,13.48,
13.78,6.49,
5.61,12.81,
9.97,17.61,
10.86,29.5,
5.65,52.92,
5.31,13.39,
1.66,27.99,
3.61,16.32,
4.17,9.66,
8.08,11.13,
6.2,5.43,
8.48,12.32,
6.66,4.62,
17.75,10.97,
19.93,11.58,
16.52,18.56,
13.07,9.45,
29.21,6.83,
31.85,12,
9.56,35.19,
20.32,27.15,
12.85,16.38,
32.94,11.48,
11.17,1.5,
10.34,13.85,
12.06,18.59,
15.35,31.11,
14.67,27.21,
11.65,38.8,
19.38,4.38,
8.86,6.16,
41.93,7.42,
27.45,4.84,
18.42,5.02,
6.65,21.32,
28.2,7.92,
3.39,15.47,
10.47,10.26,
25.39,7.9,
26.22,10.62,
28.99,14.09,
22.02,7.58,
18.88,12.41,
31.9,12.61,
5.58,16.38,
11.82,5.57,
8.54,6.97,
3.79,4.17,
9.16,7.25,
7.18,5.56,
10.66,3.9,
8.48,7.91,
12.37,6.32,
12.37,4.28,
3.64,5.15,
5.16,10.39,
5.1,4.94,
6.78,5.93,
9.05,13.03,
19.77,7.76,
20.17,13.12,
11.91,7.05,
9.33,9.59,
12.53,8.93,
7.51,7.73,
9.28,11.15,
11.16,6.55,
7.12,8.35,
6.62,9.05,
7.13,11.96,
8.82,10.91,
6.66,5.41,
9.11,4.04,
12.68,3.72,
9.13,5.05,
4.34,2.66,
5.11,4.84,
10.86,11.72,
9.59,6.72,
7.88,9.62,
8.41,10.62,
8.41,10.65,
8.15,7.48,
6.71,4.35,
7.57,5.5,
6.12,5.76,
3.23,4.2,
7.47,16.69,
4.44,8.25,
9.04,3.53,
4.26,4.05,
4.92,6.43,
1.79,8.91,
13.59,6.18,
9.51,9.32,
6.14,34.27,
15.92,11.78,
22.49,22.49,
4.84,4.84,
16.28,16.28,
5.61,5.61,
1.17,1.17,
15.93,15.93,
14.46,14.46,
8.04,8.04,
5.1,5.1,
2.68,2.68,
3.72,3.72,
6.75,6.75,
7.84,7.84,
10.95,10.95,
7.15,7.15,
6.61,6.61,
7.03,7.03,
6.77,6.77,
3.61,3.61,
0.69,0.69,
3.84,3.84,
6.58,6.58,
10.01,10.01,
2.87,2.87,
12.64,12.64,
6.8,6.8,
13.78,13.78,
9.53,9.53,
7.82,7.82,
5.18,5.18,
8.81,8.81,
12.29,12.29,
