Regular smoker,Occasional smoker,Never smoker
1.63,17.18,11.34
14.84,11.13,22.15
7.03,7.38,1.81
3.38,8.41,8.97
38.8,27.21,8.36
6.75,8.21,2.72
0.69,27.15,14.85
5.21,9.05,12.61
13.07,13.72,29.03
7.52,16.38,7.51
16.25,22.7,25.25
4.77,5.93,3.06
23.64,2.55,17.58
5.21,2.35,13.62
7.12,13.75,2.17
17.45,11.72,20.55
5.32,9.82,13.86
10.03,1.79,11.25
1.36,14.32,13.26
10.83,1.93,18.58
32.09,1.06,12.17
13.72,8.77,8.14
10.34,7.57,15.95
38.83,11.65,1.46
11.07,7.33,6.62
6.66,3.72,18.56
7.58,20.55,13.85
3.48,2.75,28.2
2.7,5.89,31.9
11.61,22.92,1.93
5.01,22.49,23.61
10.86,5.18,34
13.78,22.02,4.44
30.27,4.25,4.26
19.93,5.6,6.34
6.49,6.71,15.92
12.81,4.92,33.94
16.32,34.28,5.88
11.13,7.03,0.24
14.84,3.48,7.51
16.38,12.53,6.04
19.38,8.58,1.06
20.14,10.86,30.52
28.2,6.2,8.19
7.9,8.48,10.95
3.9,17.75,7.54
6.32,10.15,10.62
5.15,6.9,6.43
6.55,18.83,23.34
9.05,10.02,9.69
20.17,13.35,2.85
11.72,4.62,11.82
6.66,11.17,9.45
4.2,35.19,8.35
9.59,27.15,14.06
7.88,13.85,7.73
5.34,9.72,8.25
,6.65,35.19
,7.42,14.67
,5.02,1.93
,15.47,6.43
,31.9,4.86
,4.17,13.35
,7.76,12.14
,9.59,7.34
,9.16,17.5
,4.04,2.87
,12.19,2.35
,12.53,1.38
,6.72,5.11
,7.51,16.32
,5.5,5.41
,5.76,15.88
,8.25,7.82
,6.18,10.15
,8.21,5.06
,10.86,21.03
,3.72,2.45
,8.41,5.16
,7.38,2.09
,6.77,34.53
,3.61,13.18
,15.92,2.32
,,17.79
,,30.83
,,1.22
,,9.29
,,15.93
,,24.87
,,17.28
,,2.86
,,9.28
,,20.32
,,7.48
,,12.32
,,17.61
,,4.62
,,11.58
,,5.21
,,17.08
,,4.39
,,3.61
,,7.18
,,1.66
,,1.79
,,4.6
,,6
,,7.92
,,18.59
,,28.03
,,8.15
,,5.37
,,20.17
,,4.84
,,13.12
,,10.97
,,6.83
,,6
,,13
,,5.57
,,28.99
,,9.56
,,16.28
,,3.36
,,6.83
,,7.6
,,9.51
,,3.9
,,2.43
,,14.24
,,9.66
,,2.2
,,6.12
,,5.02
,,12.41
,,29.95
,,17.45
,,2.81
,,6.02
,,3.64
,,20.81
,,2.37
