Adolescent,Young Adult,Middle-Aged Adult,Elderly (Young-Old),Oldest-Old
7.88,9.11,20.17,13.26,10.98
7.18,10.47,9.13,1.36,9.72
5.21,8.48,7.9,8.41,17.79
4.05,8.58,26.51,9.05,4.62
10.66,1.17,18.59,7.51,13.75
11.34,6.18,5.15,2.09,23.61
8.36,8.41,19.14,9.66,14.06
9.59,6.12,5.16,9.53,16.38
31.9,1.81,39.46,7.48,8.21
17.5,12.77,4.05,10.62,6.61
12.68,8.55,13.5,10.15,28.2
10.86,7.12,29.95,5.16,5.57
1.79,4.51,34.37,6.97,4.17
9.51,3.96,1.17,11.82,16.38
11.16,1.89,26.98,11.72,1.66
19.77,4.34,6.55,16.69,10.15
19.77,19.38,6.72,5.05,4.25
1.36,12.53,7.58,13.72,8.25
6.95,9.16,9.04,33.94,12.41
7.06,22.02,9.62,12.14,16.25
,8.93,16.32,5.93,3.18
,34.27,9.45,11.16,52.92
,10.91,38.8,5.21,8.19
,20.84,14.67,6.32,27.99
,7.25,1.06,1.06,3.38
,7.13,4.51,1.93,1.93
,22.15,6.61,34.27,16.12
,17.61,9.05,8.35,
,11.82,3.64,34,
,10.02,22.49,5.93,
,8.15,5.43,5.02,
,13.59,13.03,15.92,
,4.26,7.84,30.52,
,4.44,6.83,1.22,
,10.97,13.78,7.38,
,11.91,20.17,5.18,
,8.09,5.57,7.82,
,16.32,16.28,3.23,
,9.56,3.9,27.15,
,1.46,7.51,34.53,
,14.46,13.35,7.12,
,2.43,19.93,11.03,
,10.86,7.92,21.03,
,9.05,6.49,30.83,
,8.54,6.16,15.47,
,24.08,4.86,20.81,
,20.32,15.88,18.83,
,4.32,2.86,30.52,
,6.78,15.93,4.84,
,15.47,17.08,9.98,
,5.11,12.61,17.5,
,28.99,17.35,5.06,
,6.14,18.56,12.19,
,8.19,21.32,3.72,
,16.31,20.55,28.2,
,6.71,14.09,2.45,
,26.22,12.32,22.7,
,5.37,9.59,23.34,
,6.71,10.34,13.75,
,3.48,13.85,11.58,
,12.53,9.56,11.13,
,3.72,4.39,2.32,
,11.42,12.17,6.75,
,5.65,7.52,7.03,
,3.48,12.77,10.02,
,10.86,13.48,15.35,
,9.28,8.91,8.81,
,15.92,8.04,7.38,
,4.34,8.35,6.34,
