Single condition (CVD),CVD and at least one other condition,Non-cardiovascular comorbidities,No known comorbidities
11.25,23.61,17.58,11.34
1.63,4.44,13.85,22.15
17.18,5.88,28.2,1.81
8.14,10.62,7.03,8.97
18.56,2.35,6.04,8.36
7.38,5.06,6.43,2.72
14.84,2.32,9.69,14.85
31.9,17.79,13.07,12.61
1.93,17.45,14.06,29.03
4.26,7.18,35.19,7.51
6.34,9.59,1.93,25.25
15.92,8.82,6.43,3.06
33.94,17.5,7.52,13.62
3.38,32.09,27.15,2.17
0.24,30.27,13.72,20.55
1.06,6.9,13.18,13.86
30.52,28.03,23.64,13.26
38.8,6.95,5.21,18.58
8.19,17.61,5.32,11.13
10.95,52.92,10.83,12.17
0.69,30.52,32.09,15.95
2.85,32.94,4.6,1.46
9.45,10.34,6,6.62
7.73,9.98,7.92,34
4.86,6.83,9.56,7.51
12.14,12,7.58,7.54
8.21,27.15,4.34,23.34
4.77,11.48,11.91,6.75
16.32,1.5,4.51,11.82
5.41,17.35,4.62,5.21
15.88,27.21,6.8,8.35
7.82,20.14,2.7,8.41
10.15,9.72,11.61,8.25
16.38,27.45,6.97,14.67
5.16,4.84,6.08,13.35
2.55,6.32,11.15,7.34
2.35,5.05,5.93,17.5
13.75,9.62,3.96,2.87
1.22,10.62,5.83,27.21
17.28,7.48,16.32,16.25
13.72,8.92,8.09,1.38
14.32,22.49,6.71,5.11
10.34,5.1,1.89,9.05
3.61,6.75,9.97,21.03
1.66,8.41,5.31,2.45
1.79,3.61,1.66,22.7
1.93,9.04,6.2,5.93
1.06,9.53,14.06,2.09
8.77,12.29,17.75,34.53
13,8.55,16.52,30.83
20.55,0.08,10.15,7.12
9.66,8.64,26.98,11.72
2.2,26.22,12.77,9.29
9.58,5.52,18.83,9.82
7.03,9.16,11.4,15.93
8.48,19.77,10.02,24.87
10.26,10,12.07,2.86
10.62,20.14,13.07,10.03
14.09,26.51,13.48,9.28
7.58,8.19,13.35,20.32
20.14,9.59,6.49,1.36
12.41,7.9,12.81,7.48
26.22,12.77,29.21,12.32
16.38,7.91,31.85,1.79
16.12,15.7,29.5,17.61
6.97,,13.39,4.62
4.25,,27.99,11.58
5.93,,9.56,5.21
13.03,,16.32,17.08
13.12,,11.13,4.39
7.05,,5.43,38.83
5.69,,20.32,11.07
7.73,,12.85,7.57
6.55,,12.32,6.66
11.96,,4.62,18.59
3.18,,11.17,28.03
3.72,,10.97,8.15
4.84,,11.58,5.37
15.29,,12.06,20.17
12.19,,15.35,4.84
9.18,,18.56,13.12
7.51,,9.45,10.97
6.62,,14.84,6.83
10.65,,35.19,6
5.5,,16.38,5.57
5.76,,14.67,28.99
6.43,,13.85,11.65
34.27,,18.59,11.13
8.21,,11.65,7.33
7.52,,31.11,3.72
3.55,,19.38,2.75
7.84,,8.86,5.89
10.95,,41.93,22.92
7.38,,38.8,22.49
7.57,,18.42,16.28
6.77,,4.38,5.18
3.23,,6.16,3.36
0.69,,6.65,6.83
3.84,,7.42,7.6
4.92,,28.2,9.51
12.64,,5.02,22.02
6.8,,3.39,3.9
4.51,,8.32,4.25
5.18,,21.32,5.6
8.81,,7.92,2.43
,,16.25,14.24
,,10.47,6.12
,,26.51,5.02
,,2.78,12.41
,,4.04,2.93
,,5.16,1.89
,,19.77,29.95
,,7.12,17.45
,,8.91,2.81
,,9.32,6.02
,,4.84,3.64
,,9.59,6.71
,,6.61,4.92
,,2.68,20.81
,,3.72,2.37
,,7.15,34.28
,,6.61,24.72
,,10.01,5.1
,,6.14,12.32
,,11.16,9.05
,,9.98,3.48
,,19.79,12.53
,,2.61,34.37
,,16.31,7.88
,,31.11,24.08
,,12.53,6.18
,,5.5,7.25
,,6.01,15.47
,,9.13,1.46
,,5.34,3.48
,,5.15,11.42
,,3.05,15.95
,,3.19,20.32
,,12,28.25
,,47.69,14.29
,,1.64,3.72
,,29.5,8.81
,,12.06,12.37
,,6.95,9.18
,,11.03,6.61
,,23.91,3.72
,,10.97,14.46
,,16.09,5.01
,,8.32,3.23
,,9.72,10.91
,,1.22,10.86
,,5.16,4.94
,,1.46,6.78
,,13.5,10.02
,,1.36,1.17
,,25.39,20.84
,,39.46,10.39
,,14.06,8.58
,,10.01,8.93
,,16.14,10.47
,,10.66,6.12
,,4.05,34.27
,,8.41,4.32
,,4.35,8.78
,,7.76,6.77
,,16.32,11.78
,,5.56,6.72
,,19.14,13.78
,,7.48,5.61
,,4.91,10.86
,,12.81,5.65
,,7.06,3.61
,,,4.17
,,,8.08
,,,6.66
,,,4.57
,,,19.93
,,,20.81
,,,9.66
,,,15.47
,,,7.9
,,,25.39
,,,28.99
,,,12.61
,,,22.02
,,,18.88
,,,31.9
