Elementary graduate,High school graduate,College graduate,Postgraduate
2.09,22.7,16.32,34
34.37,2.86,12.29,5.06
5.61,18.59,6,13.72
30.52,28.03,7.92,5.93
10.34,20.17,7.18,23.64
1.93,10.97,5.05,1.22
11.4,6,7.58,1.36
5.88,11.65,6.14,7.48
6.75,3.72,9.29,7.57
17.08,5.89,9.82,20.55
4.28,7.6,10.03,34.28
3.79,22.02,9.28,1.46
8.37,3.9,8.15,3.48
11.91,4.25,5.37,28.25
6.72,2.93,4.84,6.8
10.98,2.81,13.12,14.29
8.82,6.02,2.75,3.72
3.53,3.64,22.49,8.81
6.18,2.37,5.6,6.61
8.04,24.72,2.43,14.46
6.58,12.32,6.12,5.01
13.78,10.91,12.41,3.23
2.68,6.49,17.45,6.97
7.73,1.06,6.71,11.15
10.62,10.95,4.92,9.59
4.25,9.58,20.81,4.94
5.69,7.03,7.88,5.93
7.73,5.93,7.03,6.78
11.96,16.32,17.28,5.83
3.18,10.97,1.06,10.39
10.65,17.5,4.84,11.78
4.51,9.56,15.29,6.72
9.69,22.49,4.92,13.78
6.61,11.34,14.84,5.61
17.79,5.57,13.85,9.97
5.1,28.99,4.44,10.86
27.15,11.13,8.82,5.65
6.32,3.36,38.83,5.31
8.92,6.83,11.07,1.66
39.46,3.48,22.92,3.61
16.32,12.53,16.28,4.17
29.03,13.85,5.18,6.2
18.58,8.77,12.37,8.48
11.13,2.2,6.77,6.66
5.21,7.48,8.08,4.57
14.67,17.58,3.61,17.75
13.35,4.6,13,30.27
16.25,5.16,0.69,16.52
15.47,4.84,10.02,10.15
18.88,9.53,9.45,26.98
5.57,10.01,11.61,6.9
4.17,7.54,6.08,12.77
7.25,8.25,8.58,18.83
9.59,12.32,34.27,28.03
4.2,4.39,31.9,13.39
11.78,6.83,6.71,5.43
4.84,1.89,9.66,11.17
5.21,29.95,7.58,1.5
8.91,5.1,20.32,8.86
11.25,9.05,12,17.35
4.26,7.9,9.62,41.93
6.34,28.99,10.62,27.45
3.38,22.02,6.75,18.42
38.8,9.05,3.61,6.16
9.45,12.37,6.43,6.65
8.21,12.37,35.19,7.42
16.32,5.41,2.32,3.39
16.38,3.64,9.04,21.32
2.55,5.1,7.51,16.38
10.26,20.17,8.41,0.08
12.41,11.72,20.32,5.52
16.12,9.28,1.79,5.34
7.05,11.16,5.02,10
5.76,6.66,19.93,26.51
3.55,4.35,5.58,9.59
7.84,16.69,8.35,
6.77,11.03,2.66,
16.38,14.46,13.75,
7.03,2.87,6.12,
5.32,9.51,13.59,
9.32,7.82,32.94,
,27.15,14.09,
,27.21,6.55,
,6.61,7.51,
,8.14,6.62,
,7.38,10.95,
,14.84,3.84,
,31.9,12.64,
,0.24,29.21,
,0.69,15.35,
,2.85,10.47,
,5.16,4.04,
,3.72,20.84,
,5.5,10.47,
,6.43,8.64,
,7.52,26.22,
,6.8,11.16,
,8.81,5.56,
,11.58,10.62,
,14.06,6.43,
,16.25,4.35,
,1.17,3.05,
,5.02,12.07,
,3.19,12.32,
,6.83,8.19,
,9.72,2.61,
,8.32,5.5,
,32.09,9.13,
,3.72,47.69,
,29.5,7.76,
,11.65,7.91,
,23.61,19.79,
,2.35,6.01,
,26.51,12,
,2.78,1.64,
,15.7,12.06,
,13.18,10.97,
,6.95,8.41,
,11.03,8.41,
,23.91,7.52,
,13.5,7.9,
,14.06,16.31,
,4.05,8.32,
,4.91,9.72,
,12.81,8.55,
,7.06,9.16,
,1.81,19.77,
,8.97,20.14,
,8.36,12.77,
,2.72,9.98,
,12.61,31.11,
,7.51,12.53,
,25.25,5.15,
,3.06,16.09,
,20.55,1.22,
,13.86,5.16,
,13.26,1.46,
,12.17,1.36,
,1.46,25.39,
,6.62,10.01,
,23.34,16.14,
,11.82,10.66,
,8.35,19.14,
,7.34,7.48,
,27.21,22.15,
,1.38,14.85,
,5.11,15.95,
,21.03,17.5,
,2.45,2.87,
,34.53,9.05,
,7.12,30.83,
,11.72,5.21,
,15.93,14.24,
,24.87,7.25,
,17.61,15.47,
,4.62,11.42,
,11.58,15.95,
,6.66,20.32,
,7.33,9.18,
,9.51,3.72,
,24.08,10.91,
,6.18,10.86,
,25.39,4.32,
,5.56,8.78,
,3.9,20.81,
,7.91,9.66,
,5.15,11.82,
,4.94,8.54,
,7.76,10.39,
,9.16,7.18,
,10.66,8.93,
,8.48,11.15,
,6.78,9.05,
,9.11,9.33,
,9.13,12.53,
,8.25,7.13,
,4.05,12.68,
,5.11,4.34,
,16.28,1.17,
,10.86,7.88,
,15.93,7.54,
,8.41,7.47,
,8.15,4.44,
,6.95,4.26,
,9.98,1.79,
,20.14,15.92,
,17.45,32.09,
,28.2,17.61,
,7.92,52.92,
,1.63,30.52,
,18.56,17.18,
,15.92,33.94,
,8.19,4.86,
,12.14,4.77,
,5.41,1.66,
,15.88,1.93,
,10.15,12.19,
,2.35,34.27,
,13.75,7.38,
,13.72,13.07,
,14.32,12.81,
,1.79,31.85,
,20.14,9.56,
,26.22,12.85,
,6.97,18.56,
,13.03,19.38,
,13.12,38.8,
,9.18,4.38,
,8.21,28.2,
,7.57,6.04,
,3.23,1.93,
,5.18,4.51,
,10.83,2.7,
,13.48,8.09,
,13.35,6.71,
,29.5,1.89,
,12.06,7.12,
,35.19,7.15,
,14.67,10.02,
,18.59,8.93,
,31.11,6.12,
,13.07,12.61,
,4.34,10.34,
,11.91,27.99,
,19.77,4.62,
,9.59,4.62,
,11.13,3.96,
