Male,Female
7.88,5.21
7.18,4.05
8.36,10.66
17.5,11.34
12.68,9.59
10.86,31.9
1.79,11.16
9.51,19.77
6.95,19.77
7.06,1.36
9.11,10.47
8.48,8.58
12.77,1.17
8.55,6.18
1.89,8.41
12.53,6.12
22.02,1.81
10.91,7.12
7.25,4.51
8.15,3.96
8.09,4.34
1.46,19.38
14.46,9.16
2.43,8.93
9.05,34.27
4.32,20.84
6.78,7.13
28.99,22.15
6.14,17.61
6.71,11.82
6.71,10.02
3.48,13.59
12.53,4.26
3.72,4.44
11.42,10.97
4.34,11.91
28.25,16.32
2.7,9.56
6.8,10.86
6.97,8.54
6.2,24.08
3.61,20.32
5.01,15.47
14.46,5.11
6.66,8.19
3.72,16.31
15.95,26.22
47.69,5.37
16.52,5.65
8.48,3.48
4.91,10.86
2.87,9.28
12.37,15.92
4.17,12.37
12.37,8.97
12.85,2.61
31.11,17.75
14.29,13.07
7.88,9.98
12.41,9.18
6,6.61
14.85,1.46
9.33,3.23
20.81,8.81
3.72,8.08
11.78,6.01
11.91,9.97
38.83,11.61
7.03,4.62
6.71,14.24
11.15,20.32
6.65,15.93
2.17,1.66
5.61,5.31
13.78,25.39
8.82,6.77
6.78,2.75
22.49,1.64
10,18.42
8.15,5.89
10.39,10.03
5.6,3.9
22.02,25.25
5.1,7.76
32.09,19.79
3.39,7.47
5.61,4.62
6.66,22.92
11.15,9.13
5.58,9.72
9.16,6.08
5.34,12.81
18.59,17.58
16.09,28.99
11.78,8.41
4.94,12
24.87,5.16
3.06,4.6
6.18,4.2
17.61,8.78
11.58,5.41
9.82,13.62
6.12,0.08
3.19,20.55
4.92,4.25
11.65,34.28
7.48,11.17
6.66,8.64
16.28,2.81
7.34,1.89
6.72,9.51
7.25,4.35
6.12,5.11
18.88,9.59
7.18,20.14
11.03,31.11
12.81,6
5.83,3.64
17.45,1.38
11.07,7.6
11.13,6.83
4.35,10.01
8.82,29.5
10.47,14.06
16.14,7.82
4.84,5.15
8.93,11.72
10.97,31.85
6.8,3.61
9.29,2.72
5.1,6.62
10.39,8.32
15.7,3.05
5.93,5.41
1.79,8.86
7.33,13.39
2.37,3.36
6.02,7.91
12.61,7.76
7.15,7.9
5.18,7.91
1.22,7.51
12.32,3.53
11.65,24.72
15.95,25.39
1.46,4.38
12.32,4.57
7.03,5.52
10.66,4.04
20.17,9.28
26.51,26.22
18.59,12.06
5.15,13
19.14,2.93
29.95,23.91
34.37,8.25
1.17,5.56
26.98,5.5
6.72,27.15
4.51,35.19
6.61,29.5
9.05,4.92
3.64,13.12
22.49,29.03
5.43,8.77
13.03,5.5
6.83,10.01
13.78,16.32
20.17,9.13
5.57,7.9
16.28,5.16
3.9,39.46
6.49,4.05
15.88,13.5
15.93,6.55
20.55,7.58
9.59,9.04
10.34,9.62
13.48,16.32
7.57,9.45
4.94,38.8
1.79,14.67
10.97,1.06
11.13,7.84
7.58,7.51
1.5,13.35
9.66,19.93
28.03,7.92
9.59,6.16
12.53,4.86
4.84,2.86
10.34,17.08
10.62,12.61
2.85,17.35
2.2,18.56
1.36,21.32
8.41,14.09
2.09,12.32
9.66,13.85
9.53,9.56
6.97,4.39
11.82,12.17
11.72,7.52
16.69,12.77
12.14,8.91
5.93,8.04
5.21,8.35
1.93,5.56
34.27,11.4
34,41.93
5.02,6.43
5.18,16.38
7.82,5.02
3.23,20.14
27.15,12.07
34.53,6.62
7.12,3.84
30.83,7.48
15.47,6.43
3.72,30.27
28.2,29.21
22.7,7.73
23.34,13.72
11.58,17.28
11.13,3.79
7.03,28.03
10.02,13.35
8.81,12.06
7.38,10.95
9.45,7.05
12.64,9.58
10.65,7.54
6.75,13.86
6.83,6.95
3.61,27.45
7.73,6.9
7.57,26.51
5.21,32.94
2.68,13.18
10.91,1.63
10.95,13.26
32.09,9.05
13.07,7.51
31.9,7.48
17.18,10.62
3.72,10.15
13.85,5.16
9.05,5.05
18.56,13.72
17.45,33.94
9.32,11.16
0.69,6.32
13.12,1.06
9.18,8.35
20.14,5.93
18.58,15.92
2.35,30.52
7.42,1.22
6.77,7.38
14.06,11.03
14.84,21.03
12.29,20.81
7.92,18.83
6.58,30.52
2.78,4.84
11.48,9.98
5.1,17.5
15.29,5.06
4.84,12.19
4.62,2.45
23.61,13.75
8.21,2.32
6.61,6.75
5.57,15.35
4.17,6.34
16.38,8.14
12.41,2.66
52.92,8.41
27.99,5.88
1.93,0.24
,10.26
,8.37
,27.21
,11.96
,2.87
,8.92
,10.62
,14.84
,7.52
,2.35
,6.04
,1.93
,10.83
,5.76
,4.77
,35.19
,8.32
,9.69
,4.26
,2.55
,14.32
,4.28
,14.67
,12
,27.21
,20.32
,38.8
,5.69
,0.69
,7.54
,5.32
,16.25
,16.32
,11.25
,23.64
,3.55
,8.21
,6.43
,4.44
,10.98
,9.72
,17.79
,13.75
,14.06
,16.38
,28.2
,1.66
,10.15
,4.25
,8.25
,16.25
,3.18
,8.19
,3.38
,16.12
