Poor,Low income and lower middle income,"Middle, upper middle, high income and rich"
12,12.29,6.9
7.48,6,5.83
11.4,7.92,8.58
5.88,11.17,34.27
9.62,7.18,11.78
10.62,5.05,13.78
6.75,7.58,4.57
3.61,6.14,31.9
17.58,34,6.71
6.43,22.7,30.27
35.19,2.09,11.48
4.6,9.29,9.66
5.16,9.82,2.2
4.84,2.86,7.58
2.32,10.03,16.38
9.04,9.28,20.32
9.53,1.36,6.2
10.01,7.57,1.17
7.51,18.59,20.84
7.54,28.03,10.47
6.75,8.15,11.15
8.41,5.37,4.62
8.25,20.17,3.96
5.93,4.84,10.02
20.32,13.12,8.93
7.48,10.97,6.12
12.32,6,27.99
1.79,11.65,4.62
17.08,3.72,10.34
4.39,2.75,12.61
6.83,5.89,11.13
5.02,22.49,4.94
1.89,7.6,6.78
29.95,22.02,10.39
5.1,3.9,9.97
9.05,4.25,8.48
19.93,5.6,41.93
7.9,2.43,16.32
28.99,6.12,5.61
22.02,12.41,
5.58,2.93,
4.28,17.45,
3.79,2.81,
8.37,6.02,
8.35,3.64,
9.05,6.71,
12.37,4.92,
12.37,20.81,
5.41,2.37,
3.64,24.72,
2.66,12.32,
5.1,34.37,
20.17,7.88,
11.91,10.91,
11.72,5.61,
6.72,7.03,
9.28,28.03,
13.75,1.5,
11.16,6.49,
10.98,1.06,
8.82,30.52,
6.66,10.95,
4.35,17.28,
16.69,10.34,
11.03,1.06,
3.53,9.58,
6.18,7.03,
14.46,5.93,
8.04,4.84,
6.12,15.29,
6.58,4.92,
2.87,16.32,
13.59,5.43,
13.78,10.97,
9.51,14.84,
7.82,13.85,
32.94,8.86,
27.15,17.5,
27.21,17.35,
2.68,4.44,
6.61,9.56,
8.14,22.49,
7.38,8.82,
14.84,1.66,
31.9,11.34,
0.24,38.83,
0.69,11.07,
2.85,5.57,
7.73,28.99,
5.16,11.13,
10.62,22.92,
14.09,16.28,
4.25,5.18,
5.69,3.36,
7.73,6.83,
6.55,3.48,
11.96,12.53,
3.18,1.46,
3.72,3.48,
7.51,3.72,
6.62,12.37,
10.65,6.61,
5.5,14.46,
6.43,3.23,
7.52,6.77,
10.95,5.65,
3.84,3.61,
12.64,4.17,
6.8,8.08,
4.51,6.66,
8.81,13.85,
29.21,1.93,
11.58,3.61,
15.35,8.77,
9.69,13,
14.06,0.69,
16.25,26.98,
10.47,10.02,
4.04,9.45,
6.61,18.42,
,11.61,
,6.08,
,5.31,
